Training Data,Accuracy
6725,0.620817843866171
13450,0.6295910780669145
20175,0.6437174721189591
26900,0.6590334572490706
33625,0.670185873605948
40350,0.6863940520446097
47075,0.6971003717472118
53800,0.7144981412639405
60525,0.7280297397769516
67250,0.7307063197026022
73975,0.744089219330855
80700,0.7489962825278811
87425,0.7501858736059479
94150,0.7491449814126394
100875,0.7608921933085502
107600,0.7640148698884759
114325,0.772639405204461
121050,0.771449814126394
127775,0.7732342007434945
134500,0.7741263940520446
141225,0.774275092936803
147950,0.7756133828996282
154675,0.7754646840148699
161400,0.7811152416356877
168125,0.7815613382899628
174850,0.7834944237918215
181575,0.7919702602230483
188300,0.7851301115241636
195025,0.790631970260223
201750,0.798364312267658
