class,ra,dec,u,g,r,i,z,nuv_mag,u-g,u-r,u-i,u-z,u-nuv_mag,g-r,g-i,g-z,g-nuv_mag,r-i,r-z,r-nuv_mag,i-z,i-nuv_mag,class
0,189.7361812,25.73872228,22.46982002,21.2249279,21.40379524,21.29019547,21.64055634,23.76249886,1.24489212,1.06602478,1.17962455,0.82926368,-1.29267884,-0.17886734,-0.06526757,-0.41562844,-2.53757096,0.11359977,-0.2367611,-2.35870362,-0.35036087,-2.47230339,-2.12194252
1,189.2277341,25.65373566,23.27641487,22.08109093,20.62713051,19.65191269,19.38178444,24.20079803,1.19532394,2.64928436,3.62450218,3.89463043,-0.92438316,1.45396042,2.42917824,2.69930649,-2.1197071,0.97521782,1.24534607,-3.57366752,0.27012825,-4.54888534,-4.81901359
1,183.058012,20.93763531,23.73708534,21.90966988,20.27998352,19.42971802,18.81138802,24.35780525,1.82741546,3.45710182,4.30736732,4.92569732,-0.62071991,1.62968636,2.47995186,3.09828186,-2.44813537,0.8502655,1.4685955,-4.07782173,0.61833,-4.92808723,-5.54641723
0,183.0884895,21.04755864,22.35298538,21.63640594,21.4890213,21.55370522,21.49573517,24.45979309,0.71657944,0.86396408,0.79928016,0.85725021,-2.10680771,0.14738464,0.08270072,0.14067077,-2.82338715,-0.06468392,-0.00671387,-2.97077179,0.05797005,-2.90608787,-2.96405792
2,181.9596239,21.05115517,21.54289627,21.06869125,20.25415993,19.46498108,19.16884804,21.40668869,0.47420502,1.28873634,2.07791519,2.37404823,0.13620758,0.81453132,1.60371017,1.89984321,-0.33799744,0.78917885,1.08531189,-1.15252876,0.29613304,-1.94170761,-2.23784065
0,184.4227582,15.32552224,21.54718781,20.81603622,20.6648941,20.58459473,20.52924347,23.90273476,0.73115159,0.88229371,0.96259308,1.01794434,-2.35554695,0.15114212,0.23144149,0.28679275,-3.08669854,0.08029937,0.13565063,-3.23784066,0.05535126,-3.31814003,-3.37349129
1,189.8147198,26.90271029,22.05015373,21.12518883,19.9493885,19.24279594,18.92794609,22.41752625,0.9249649,2.10076523,2.80735779,3.12220764,-0.36737252,1.17580033,1.88239289,2.19724274,-1.29233742,0.70659256,1.02144241,-2.46813775,0.31484985,-3.17473031,-3.48958016
2,187.8324136,20.28019851,20.90743065,20.23657799,20.20288467,20.26309013,20.12804604,23.60834694,0.67085266,0.70454598,0.64434052,0.77938461,-2.70091629,0.03369332,-0.02651214,0.10853195,-3.37176895,-0.06020546,0.07483863,-3.40546227,0.13504409,-3.34525681,-3.4803009
1,190.1346574,26.07222989,22.07911301,21.88503456,20.35009384,19.44950485,18.9243927,23.9472065,0.19407845,1.72901917,2.62960816,3.15472031,-1.86809349,1.53494072,2.43552971,2.96064186,-2.06217194,0.90058899,1.42570114,-3.59711266,0.52511215,-4.49770165,-5.0228138
1,190.3157517,26.53406045,22.66790009,21.59300041,20.37911606,19.44694519,19.02488899,22.27067184,1.07489968,2.28878403,3.2209549,3.6430111,0.39722825,1.21388435,2.14605522,2.56811142,-0.67767143,0.93217087,1.35422707,-1.89155578,0.4220562,-2.82372665,-3.24578285
2,188.5794687,20.89415762,22.69942856,21.00156784,20.7626152,20.71362114,20.73855019,21.92224312,1.69786072,1.93681336,1.98580742,1.96087837,0.77718544,0.23895264,0.2879467,0.26301765,-0.92067528,0.04899406,0.02406501,-1.15962792,-0.02492905,-1.20862198,-1.18369293
1,189.0111649,19.68126652,23.7792263,21.39507484,19.82419014,19.04617882,18.67199898,24.10918045,2.38415146,3.95503616,4.73304748,5.10722732,-0.32995415,1.5708847,2.34889602,2.72307586,-2.71410561,0.77801132,1.15219116,-4.28499031,0.37417984,-5.06300163,-5.43718147
1,189.1283112,19.60962891,22.05774689,21.43208504,20.28754044,19.21495628,18.60501862,22.08435249,0.62566185,1.77020645,2.84279061,3.45272827,-0.0266056,1.1445446,2.21712876,2.82706642,-0.65226745,1.07258416,1.68252182,-1.79681205,0.60993766,-2.86939621,-3.47933387
1,201.7662837,26.12863444,22.3283062,21.16063309,19.92478943,19.19291496,18.69410324,22.39944649,1.16767311,2.40351677,3.13539124,3.63420296,-0.07114029,1.23584366,1.96771813,2.46652985,-1.2388134,0.73187447,1.23068619,-2.47465706,0.49881172,-3.20653153,-3.70534325
1,201.8281181,19.76255381,21.98083115,21.42666626,20.08543015,19.32366753,18.9113636,21.8472271,0.55416489,1.895401,2.65716362,3.06946755,0.13360405,1.34123611,2.10299873,2.51530266,-0.42056084,0.76176262,1.17406655,-1.76179695,0.41230393,-2.52355957,-2.9358635
1,201.6593998,20.56813894,22.56789207,21.29730988,19.65864372,18.79455376,18.43552589,22.44287872,1.27058219,2.90924835,3.77333831,4.13236618,0.12501335,1.63866616,2.50275612,2.86178399,-1.14556884,0.86408996,1.22311783,-2.784235,0.35902787,-3.64832496,-4.00735283
1,201.3751041,27.04433156,22.52713203,21.9907074,20.40764999,19.42035866,19.13149452,23.78460884,0.53642463,2.11948204,3.10677337,3.39563751,-1.25747681,1.58305741,2.57034874,2.85921288,-1.79390144,0.98729133,1.27615547,-3.37695885,0.28886414,-4.36425018,-4.65311432
2,201.0781036,27.93887389,22.4541893,20.29080391,19.90202904,19.7718277,19.75956726,25.64031029,2.16338539,2.55216026,2.6823616,2.69462204,-3.18612099,0.38877487,0.51897621,0.53123665,-5.34950638,0.13020134,0.14246178,-5.73828125,0.01226044,-5.86848259,-5.88074303
1,201.2414122,27.89572126,25.45218468,22.70118141,21.03775978,19.73207855,19.26016998,25.73176193,2.75100327,4.4144249,5.72010613,6.1920147,-0.27957725,1.66342163,2.96910286,3.44101143,-3.03058052,1.30568123,1.7775898,-4.69400215,0.47190857,-5.99968338,-6.47159195
2,201.1800641,27.57406251,22.51214218,21.37092209,21.32526779,21.3656826,20.83156967,26.11458969,1.14122009,1.18687439,1.14645958,1.68057251,-3.60244751,0.0456543,0.00523949,0.53935242,-4.7436676,-0.04041481,0.49369812,-4.7893219,0.53411293,-4.74890709,-5.28302002
1,201.2333213,27.43169581,25.79880333,22.03885269,20.29055786,19.39793205,18.70126343,24.54836845,3.75995064,5.50824547,6.40087128,7.0975399,1.25043488,1.74829483,2.64092064,3.33758926,-2.50951576,0.89262581,1.58929443,-4.25781059,0.69666862,-5.1504364,-5.84710502
1,200.7823912,20.27717739,21.12814903,21.19312668,20.21950912,19.39767456,19.13725662,22.14110756,-0.06497765,0.90863991,1.73047447,1.99089241,-1.01295853,0.97361756,1.79545212,2.05587006,-0.94798088,0.82183456,1.0822525,-1.92159844,0.26041794,-2.743433,-3.00385094
1,199.9924154,20.6526488,21.78389931,19.66208458,18.15919685,17.59841919,17.20671082,22.18699837,2.12181473,3.62470246,4.18548012,4.57718849,-0.40309906,1.50288773,2.06366539,2.45537376,-2.52491379,0.56077766,0.95248603,-4.02780152,0.39170837,-4.58857918,-4.98028755
2,199.8746395,20.99131707,22.18755913,21.53838348,21.50290298,21.18532944,20.91520309,22.58661461,0.64917565,0.68465615,1.00222969,1.27235604,-0.39905548,0.0354805,0.35305404,0.62318039,-1.04823113,0.31757354,0.58769989,-1.08371163,0.27012635,-1.40128517,-1.67141152
2,200.0948357,20.7505784,20.39736366,19.97869682,19.87487411,19.90026283,19.76032829,22.57592583,0.41866684,0.52248955,0.49710083,0.63703537,-2.17856217,0.10382271,0.07843399,0.21836853,-2.59722901,-0.02538872,0.11454582,-2.70105172,0.13993454,-2.675663,-2.81559754
1,200.231414,20.84805346,21.36151505,19.73209381,18.25157547,17.6777668,17.26405716,22.29213524,1.62942124,3.10993958,3.68374825,4.09745789,-0.93062019,1.48051834,2.05432701,2.46803665,-2.56004143,0.57380867,0.98751831,-4.04055977,0.41370964,-4.61436844,-5.02807808
1,200.3519661,20.94151057,21.90163803,21.44461632,20.32702827,19.45186996,18.94464302,22.96986389,0.45702171,1.57460976,2.44976807,2.95699501,-1.06822586,1.11758805,1.99274636,2.4999733,-1.52524757,0.87515831,1.38238525,-2.64283562,0.50722694,-3.51799393,-4.02522087
